thai,english,parts,n_parts,n_glossed,score_A,score_B,score_C
โรงแรม,hotel,โรง+แรม,2,2,0.3932276927508988,0.29014939069747925,0.4521087995236434
โรงแรม,hotel,โรง+แรม,2,2,0.3932276927508988,0.29014939069747925,0.4521087995236434
โรงแรม,hotel,โรง+แรม,2,2,0.3932276927508988,0.29014939069747925,0.4521087995236434
น้ำใจ,"kindness, goodwill",น้ำ+ใจ,2,2,0.39352152861039646,0.3697914999599159,0.7684130321113646
พี่สาว,elder sister,พี่+สาว,2,2,0.39456531412260065,0.329093167673727,0.689909930920521
พี่สาว,elder sister,พี่+สาว,2,2,0.39456531412260065,0.329093167673727,0.689909930920521
เท่าไร,how much; how many,เท่า+ไร,2,2,0.3947790067013526,0.318405419588089,0.665266258850614
หน่อไม้,bamboo shoot,หน่อ+ไม้,2,2,0.39575955704180305,0.33005320012886524,0.9130334844335982
หน่อไม้,bamboo shoot,หน่อ+ไม้,2,2,0.39575955704180305,0.33005320012886524,0.9130334844335982
ก่อสร้าง,construction,ก่อ+สร้าง,2,2,0.39817371357522685,0.3050690475147395,0.5124142767893562
ก่อสร้าง,construction,ก่อ+สร้าง,2,2,0.39817371357522685,0.3050690475147395,0.5124142767893562
เกรงใจ,"considerate, reluctant to encroach",เกรง+ใจ,2,2,0.3988881294503133,0.3402629900292134,0.931461587875145
ตีสอง,2 a.m.,ตี+สอง,2,2,0.40136715781004556,0.3148033320903778,0.7382015016666262
ตีสอง,2 a.m.,ตี+สอง,2,2,0.40136715781004556,0.3148033320903778,0.7382015016666262
น้ำแข็ง,ice,น้ำ+แข็ง,2,2,0.40163209372032993,0.2455393671989441,0.5737718046211794
น้ำแข็ง,ice,น้ำ+แข็ง,2,2,0.40163209372032993,0.2455393671989441,0.5737718046211794
พายุ,storm,พา+ยุ,2,2,0.40300987557480444,0.29948811528015823,0.6222844680466787
พายุ,storm,พา+ยุ,2,2,0.40300987557480444,0.29948811528015823,0.6222844680466787
รถสองแถว,minibus; shared taxi,รถ+สอง+แถว,3,3,0.40537127735748335,0.45917409658432007,0.7685592416304167
เกินไป,too much; excessively,เกิน+ไป,2,2,0.40730096672123306,0.4249630480960665,0.8598558039755064
แยกจ่าย,split bill,แยก+จ่าย,2,2,0.408257616938422,0.40404394268989563,0.937487740072978
แยกจ่าย,split bill,แยก+จ่าย,2,2,0.408257616938422,0.40404394268989563,0.937487740072978
สนามบิน,airport,สนาม+บิน,2,2,0.4098785382675975,0.3778438415713499,0.47529641599981165
สนามบิน,airport,สนาม+บิน,2,2,0.4098785382675975,0.3778438415713499,0.47529641599981165
สนามบิน,airport,สนาม+บิน,2,2,0.4098785382675975,0.3778438415713499,0.47529641599981165
สนามบิน,airport,สนาม+บิน,2,2,0.4098785382675975,0.3778438415713499,0.47529641599981165
อาหาร,food,อา+หาร,2,2,0.4100021505937863,0.30036279559135437,0.4425711198472985
อาหาร,food,อา+หาร,2,2,0.4100021505937863,0.30036279559135437,0.4425711198472985
วงเวียน,roundabout,วง+เวียน,2,2,0.41011330184601286,0.3674883167438696,0.8004798228006216
วงเวียน,roundabout,วง+เวียน,2,2,0.41011330184601286,0.3674883167438696,0.8004798228006216
ตีสี่,4 a.m.,ตี+สี่,2,2,0.41070410828915027,0.3256988823413849,0.8040871809437599
ตีสี่,4 a.m.,ตี+สี่,2,2,0.41070410828915027,0.3256988823413849,0.8040871809437599
มะเขือเทศ,tomato,มะเขือ+เทศ,2,2,0.41172102368555635,0.38244308620012696,0.8749109244500477
มะเขือเทศ,tomato,มะเขือ+เทศ,2,2,0.41172102368555635,0.38244308620012696,0.8749109244500477
น้ำอัดลม,soft drink,น้ำ+อัดลม,2,2,0.414249715413136,0.3263994053840283,0.7844964349228667
หัวเราะ,to laugh,หัว+เราะ,2,2,0.4199429132705903,0.3022240102291107,0.5811542185059049
วันพระ,Buddhist's day,วัน+พระ,2,2,0.4224761190217286,0.2630193390261733,0.9379747656559481
