thai,parts,n_parts,per_part_cos,min_part_cos,mean_part_cos,max_part_cos,gap,sum_rank
พายุ,พา+ยุ,2,0.030;0.060,0.02978402189910412,0.04492564965039492,0.060067277401685715,0.030283255502581596,184
พายุ,พา+ยุ,2,0.030;0.060,0.02978402189910412,0.04492564965039492,0.060067277401685715,0.030283255502581596,184
นาที,นา+ที,2,0.080;0.032,0.03232201561331749,0.05594589374959469,0.07956977188587189,0.0472477562725544,82
นาที,นา+ที,2,0.080;0.032,0.03232201561331749,0.05594589374959469,0.07956977188587189,0.0472477562725544,82
ชื่อเล่น,ชื่อ+เล่น,2,0.571;0.033,0.03295823186635971,0.302138339728117,0.5713184475898743,0.5383602157235146,3
ชื่อเล่น,ชื่อ+เล่น,2,0.571;0.033,0.03295823186635971,0.302138339728117,0.5713184475898743,0.5383602157235146,3
ชื่อเล่น,ชื่อ+เล่น,2,0.571;0.033,0.03295823186635971,0.302138339728117,0.5713184475898743,0.5383602157235146,3
ขอบใจ,ขอบ+ใจ,2,0.035;0.234,0.034571532160043716,0.13422407396137714,0.23387661576271057,0.19930508360266685,45
ขอบใจ,ขอบ+ใจ,2,0.035;0.234,0.034571532160043716,0.13422407396137714,0.23387661576271057,0.19930508360266685,45
วันที่,วัน+ที่,2,0.575;0.035,0.03467518463730812,0.3049622196704149,0.5752492547035217,0.5405740700662136,3
วันที่,วัน+ที่,2,0.575;0.035,0.03467518463730812,0.3049622196704149,0.5752492547035217,0.5405740700662136,3
เงินสด,เงิน+สด,2,0.592;0.035,0.035475678741931915,0.3134966231882572,0.5915175676345825,0.5560418888926506,2
เงินสด,เงิน+สด,2,0.592;0.035,0.035475678741931915,0.3134966231882572,0.5915175676345825,0.5560418888926506,2
ต่อสู้,ต่อ+สู้,2,0.038;0.596,0.03787785768508911,0.3169294595718384,0.5959810614585876,0.5581032037734985,1
เข้าใจ,เข้า+ใจ,2,0.040;0.207,0.03973497077822685,0.12343855015933514,0.20714212954044342,0.16740715876221657,79
เข้าใจ,เข้า+ใจ,2,0.040;0.207,0.03973497077822685,0.12343855015933514,0.20714212954044342,0.16740715876221657,79
แขวน,แข+วน,2,0.040;0.073,0.04006984084844589,0.05672566965222359,0.07338149845600128,0.03331165760755539,86
